RW11A,M 296.5 244.5 L 296.5 256.5 L 295.5 257.5 L 283.5 257.5 L 283.5 268.5 L 320.5 268.5 L 320.5 244.5 z
Simpson 01,M 114.5 244.5 L 114.5 255.5 L 126.5 255.5 L 127.5 256.5 L 127.5 268.5 L 138.5 268.5 L 138.5 256.5 L 139.5 255.5 L 151.5 255.5 L 151.5 244.5 z
Addison 01,M 101.5 244.5 L 101.5 294.5 L 112.5 294.5 L 112.5 269.5 L 113.5 268.5 L 125.5 268.5 L 125.5 257.5 L 113.5 257.5 L 112.5 256.5 L 112.5 244.5 z
Gritters 01,M 75.5 244.5 L 75.5 256.5 L 74.5 257.5 L 62.5 257.5 L 62.5 268.5 L 74.5 268.5 L 75.5 269.5 L 75.5 294.5 L 99.5 294.5 L 99.5 257.5 L 87.5 257.5 L 86.5 256.5 L 86.5 244.5 z
Bells Ferry 02,M 36.5 244.5 L 36.5 294.5 L 47.5 294.5 L 47.5 282.5 L 48.5 281.5 L 60.5 281.5 L 60.5 257.5 L 48.5 257.5 L 47.5 256.5 L 47.5 244.5 z
JC07,M 530.5 231.5 L 530.5 243.5 L 529.5 244.5 L 517.5 244.5 L 517.5 268.5 L 529.5 268.5 L 530.5 269.5 L 530.5 281.5 L 541.5 281.5 L 541.5 256.5 L 542.5 255.5 L 554.5 255.5 L 554.5 231.5 z
JC18,M 426.5 231.5 L 426.5 243.5 L 425.5 244.5 L 413.5 244.5 L 413.5 255.5 L 450.5 255.5 L 450.5 243.5 L 451.5 242.5 L 463.5 242.5 L 463.5 231.5 z
RW22A,M 400.5 231.5 L 400.5 243.5 L 399.5 244.5 L 387.5 244.5 L 387.5 268.5 L 399.5 268.5 L 400.5 269.5 L 400.5 281.5 L 411.5 281.5 L 411.5 269.5 L 412.5 268.5 L 424.5 268.5 L 424.5 257.5 L 412.5 257.5 L 411.5 256.5 L 411.5 231.5 z
JC01,M 595.5 218.5 L 595.5 243.5 L 594.5 244.5 L 582.5 244.5 L 582.5 255.5 L 632.5 255.5 L 632.5 243.5 L 633.5 242.5 L 645.5 242.5 L 645.5 231.5 L 620.5 231.5 L 619.5 230.5 L 619.5 218.5 z
JC02,M 569.5 218.5 L 569.5 242.5 L 593.5 242.5 L 593.5 218.5 z
JC03B,M 543.5 218.5 L 543.5 229.5 L 555.5 229.5 L 556.5 230.5 L 556.5 242.5 L 567.5 242.5 L 567.5 218.5 z
JC03A,M 530.5 218.5 L 530.5 229.5 L 541.5 229.5 L 541.5 218.5 z
JC09,M 491.5 218.5 L 491.5 268.5 L 515.5 268.5 L 515.5 244.5 L 503.5 244.5 L 502.5 243.5 L 502.5 218.5 z
RW17,M 348.5 218.5 L 348.5 230.5 L 347.5 231.5 L 335.5 231.5 L 335.5 242.5 L 372.5 242.5 L 372.5 218.5 z
Roswell 01,M 244.5 218.5 L 244.5 230.5 L 243.5 231.5 L 231.5 231.5 L 231.5 255.5 L 243.5 255.5 L 244.5 256.5 L 244.5 268.5 L 281.5 268.5 L 281.5 244.5 L 269.5 244.5 L 268.5 243.5 L 268.5 218.5 z
Hightower 01,M 205.5 218.5 L 205.5 230.5 L 204.5 231.5 L 192.5 231.5 L 192.5 242.5 L 204.5 242.5 L 205.5 243.5 L 205.5 255.5 L 217.5 255.5 L 218.5 256.5 L 218.5 268.5 L 242.5 268.5 L 242.5 257.5 L 230.5 257.5 L 229.5 256.5 L 229.5 218.5 z
Pope 01,M 179.5 218.5 L 179.5 243.5 L 178.5 244.5 L 166.5 244.5 L 166.5 268.5 L 190.5 268.5 L 190.5 256.5 L 191.5 255.5 L 203.5 255.5 L 203.5 244.5 L 191.5 244.5 L 190.5 243.5 L 190.5 218.5 z
McCleskey 01,M 88.5 218.5 L 88.5 230.5 L 87.5 231.5 L 75.5 231.5 L 75.5 242.5 L 87.5 242.5 L 88.5 243.5 L 88.5 255.5 L 99.5 255.5 L 99.5 218.5 z
Blackwell 01,M 62.5 218.5 L 62.5 230.5 L 61.5 231.5 L 49.5 231.5 L 49.5 255.5 L 73.5 255.5 L 73.5 218.5 z
Palmer 01,M 23.5 218.5 L 23.5 242.5 L 47.5 242.5 L 47.5 231.5 L 35.5 231.5 L 34.5 230.5 L 34.5 218.5 z
JC08,M 491.5 205.5 L 491.5 216.5 L 503.5 216.5 L 504.5 217.5 L 504.5 242.5 L 528.5 242.5 L 528.5 218.5 L 516.5 218.5 L 515.5 217.5 L 515.5 205.5 z
JC10,M 478.5 205.5 L 478.5 230.5 L 477.5 231.5 L 465.5 231.5 L 465.5 242.5 L 489.5 242.5 L 489.5 205.5 z
JC15,M 439.5 205.5 L 439.5 229.5 L 450.5 229.5 L 450.5 205.5 z
JC16,M 413.5 205.5 L 413.5 242.5 L 424.5 242.5 L 424.5 230.5 L 425.5 229.5 L 437.5 229.5 L 437.5 205.5 z
