RW22A,M 424.5 231.5 L 424.5 243.5 L 423.5 244.5 L 411.5 244.5 L 411.5 268.5 L 423.5 268.5 L 424.5 269.5 L 424.5 281.5 L 435.5 281.5 L 435.5 269.5 L 436.5 268.5 L 448.5 268.5 L 448.5 257.5 L 436.5 257.5 L 435.5 256.5 L 435.5 231.5 z
JC01,M 619.5 218.5 L 619.5 243.5 L 618.5 244.5 L 606.5 244.5 L 606.5 255.5 L 656.5 255.5 L 656.5 243.5 L 657.5 242.5 L 669.5 242.5 L 669.5 231.5 L 644.5 231.5 L 643.5 230.5 L 643.5 218.5 z
JC02,M 593.5 218.5 L 593.5 242.5 L 617.5 242.5 L 617.5 218.5 z
JC03B,M 567.5 218.5 L 567.5 229.5 L 579.5 229.5 L 580.5 230.5 L 580.5 242.5 L 591.5 242.5 L 591.5 218.5 z
JC03A,M 554.5 218.5 L 554.5 229.5 L 565.5 229.5 L 565.5 218.5 z
JC09,M 515.5 218.5 L 515.5 268.5 L 539.5 268.5 L 539.5 244.5 L 527.5 244.5 L 526.5 243.5 L 526.5 218.5 z
RW17,M 372.5 218.5 L 372.5 230.5 L 371.5 231.5 L 359.5 231.5 L 359.5 242.5 L 396.5 242.5 L 396.5 218.5 z
Roswell 01,M 244.5 206.5 L 244.5 218.5 L 243.5 219.5 L 231.5 219.5 L 231.5 243.5 L 243.5 243.5 L 244.5 244.5 L 244.5 256.5 L 281.5 256.5 L 281.5 232.5 L 269.5 232.5 L 268.5 231.5 L 268.5 206.5 z
Hightower 01,M 205.5 206.5 L 205.5 218.5 L 204.5 219.5 L 192.5 219.5 L 192.5 230.5 L 204.5 230.5 L 205.5 231.5 L 205.5 243.5 L 217.5 243.5 L 218.5 244.5 L 218.5 256.5 L 242.5 256.5 L 242.5 245.5 L 230.5 245.5 L 229.5 244.5 L 229.5 206.5 z
Pope 01,M 179.5 206.5 L 179.5 231.5 L 178.5 232.5 L 166.5 232.5 L 166.5 256.5 L 190.5 256.5 L 190.5 244.5 L 191.5 243.5 L 203.5 243.5 L 203.5 232.5 L 191.5 232.5 L 190.5 231.5 L 190.5 206.5 z
